Year,CH4
1990.0,6909029785.15625
1991.0,6918609863.28125
1992.0,6895229980.46875
1993.0,6914180175.78125
1994.0,6958839843.75
1995.0,7032089843.75
1996.0,7037109863.28125
1997.0,7268600097.65625
1998.0,7159870117.1875
1999.0,7112040039.0625
2000.0,7124000000.0
2001.0,7062720214.84375
2002.0,7199600097.65625
2003.0,7262509765.625
2004.0,7505180175.78125
2005.0,7556279785.15625
2006.0,7749950195.3125
2007.0,7729959960.9375
2008.0,7782220214.84375
2009.0,7812910156.25
2010.0,7909879882.8125
2011.0,8050430175.78125
2012.0,8141109863.28125
2013.0,8109299804.6875
2014.0,8266809570.3125
2015.0,8315910156.25
2016.0,8227179687.5
2017.0,8333400390.625
2018.0,8489969726.5625
2019.0,8609919921.875
2020.0,8536440289.376801
2021.0,8598049685.776459
2022.0,8659659082.176086
2023.0,8721268478.575745
2024.0,8782877874.975388
2025.0,8844487271.37503
2026.0,8906096667.774673
2027.0,8967706064.174316
2028.0,9029315460.573975
2029.0,9090924856.973618
2030.0,9152534253.37326
2031.0,9214143649.772903
2032.0,9275753046.172546
2033.0,9337362442.57219
2034.0,9398971838.971848
2035.0,9460581235.37149
2036.0,9522190631.771133
2037.0,9583800028.170776
2038.0,9645409424.57042
2039.0,9707018820.970062
2040.0,9768628217.36972
2041.0,9830237613.769363
2042.0,9891847010.169006
2043.0,9953456406.56865
2044.0,10015065802.968292
2045.0,10076675199.367935
2046.0,10138284595.767593
2047.0,10199893992.167236
2048.0,10261503388.56688
2049.0,10323112784.966522
2050.0,10384722181.366165
